station	lat	lon	alt
v1	53.4669990539551	122.366996765137	296
v2	52.3170013427734	124.717002868652	350
v3	52.0499992370605	123.666999816895	521.5
v4	51.7000007629395	124.333000183105	494.899993896484
v5	51.7169990539551	126.650001525879	177.399993896484
v6	50.25	120.182998657227	581.400024414062
v7	50.7830009460449	121.516998291016	979.900024414062
v8	50.4830017089844	121.682998657227	732.599975585938
v9	50.4000015258789	124.116996765137	371.700012207031
v10	50.5830001831055	123.733001708984	423.700012207031
v11	50.25	127.449996948242	165.800003051758
v12	49.5670013427734	117.432998657227	666.799987792969
v13	49.3170013427734	119.432998657227	576.599975585938
v14	49.1500015258789	119.75	616.700012207031
v15	49.2830009460449	120.699996948242	668.799987792969
v16	49.2169990539551	119.75	612.900024414062
v17	49.2000007629395	123.717002868652	287.899993896484
v18	49.1669998168945	125.233001708984	242.199996948242
v19	49.4329986572266	127.349998474121	234.5
v20	49.5830001831055	128.449996948242	112.300003051758
v21	48.6669998168945	116.817001342773	554.200012207031
v22	48.2169990539551	118.266998291016	642
v23	48.7669982910156	121.916999816895	738.700012207031
v24	48	122.733001708984	306.5
v25	48.4669990539551	124.483001708984	192
v26	48.4830017089844	124.849998474121	199
v27	48.117000579834	123.483001708984	218.199996948242
v28	48.5	126.182998657227	271.799987792969
v29	48.2830009460449	126.516998291016	276
v30	48.0499992370605	125.883003234863	236.899993896484
v31	48.0330009460449	126.25	294
v32	48.882999420166	130.399993896484	89.1999969482422
v33	48.5670013427734	129.432998657227	404.5
v34	47.1669998168945	119.949996948242	1026.5
v35	47.3330001831055	123.182998657227	190
v36	47.9329986572266	123.5	185.199996948242
v37	47.7999992370605	124.483001708984	162.300003051758
v38	47.382999420166	123.916999816895	145.899993896484
v39	47.1829986572266	124.833000183105	156.100006103516
v40	47.9000015258789	125.300003051758	216.300003051758
v41	47.5999984741211	126.099998474121	230.699996948242
v42	47.4329986572266	126.967002868652	239.399993896484
v43	47.1669998168945	125.900001525879	249.199996948242
v44	47.2330017089844	127.099998474121	202.699996948242
v45	48.117000579834	129.25	296.5
v46	47.7169990539551	128.899993896484	231.300003051758
v47	47.367000579834	130.332992553711	227.899993896484
v48	47.5670013427734	130.832992553711	84.0999984741211
v49	47.6500015258789	132.5	53.5999984741211
v50	48.367000579834	134.283004760742	65.6999969482422
v51	47.2830009460449	131.850006103516	61.7999992370605
v52	47.2330017089844	131.983001708984	59.7000007629395
v53	46.7169990539551	122.083000183105	332.600006103516
v54	46.7169990539551	122.900001525879	187.800003051758
v55	46.5999984741211	121.217002868652	501.799987792969
v56	46.0830001831055	122.050003051758	274.700012207031
v57	46.867000579834	124.432998657227	153.100006103516
v58	46.4000015258789	123.416999816895	161.899993896484
v59	46.5670013427734	125.133003234863	147.199996948242
v60	46.6829986572266	126.099998474121	204.100006103516
v61	46.867000579834	126.483001708984	175.699996948242
v62	46.617000579834	126.967002868652	179.600006103516
v63	46.382999420166	125.317001342773	149.300003051758
v64	46.0670013427734	125.967002868652	147.199996948242
v65	46.25	126.266998291016	162.800003051758
v66	46.882999420166	127.483001708984	185.300003051758
v67	46.9830017089844	128.016998291016	210.5
v68	46.0830001831055	127.349998474121	13.5
v69	46.7330017089844	129.882995605469	95.0999984741211
v70	46.8170013427734	130.283004760742	81.1999969482422
v71	46.2999992370605	129.582992553711	100.099998474121
v72	47.0169982910156	130.716995239258	78.4000015258789
v73	46.2000007629395	130.516998291016	182.399993896484
v74	46.7169990539551	131.132995605469	105.400001525879
v75	46.632999420166	131.149993896484	175.300003051758
v76	46.3170013427734	132.182998657227	82.6999969482422
v77	46.7999992370605	134	54.4000015258789
v78	45.7169990539551	118.800003051758	865.599975585938
v79	45.5169982910156	116.967002868652	839.099975585938
v80	45.5330009460449	119.666999816895	823.700012207031
v81	45.0670013427734	120.333000183105	628.299987792969
v82	45.4000015258789	121.550003051758	305.299987792969
v83	45.632999420166	122.833000183105	155
v84	45.0499992370605	121.467002868652	250
v85	45.3330001831055	122.817001342773	153.300003051758
v86	45.8499984741211	123.166999816895	140.899993896484
