site  ,I     ,moveTimes ,tag ,lon.x            ,lat.x            ,alt.x  ,period_date_begin ,period_date_end ,date_begin ,date_end   ,n_all ,n_period
57504 ,8165  ,5         ,5   ,105.05           ,29.5833333333333 ,347.1  ,1981-01-01        ,2001-12-31      ,1951-01-01 ,2001-12-31 ,18627 ,7669
57515 ,8214  ,1         ,1   ,106.483333333333 ,29.5166666666667 ,351.1  ,1965-01-01        ,1986-12-31      ,1965-01-01 ,1986-12-31 ,8034  ,8034
57602 ,8435  ,7         ,7   ,105.433333333333 ,28.8833333333333 ,334.8  ,1979-07-01        ,2002-12-31      ,1951-01-01 ,2002-12-31 ,18992 ,8584
57622 ,8475  ,6         ,3   ,107.45           ,28.8833333333333 ,1905.9 ,1960-01-01        ,1979-12-31      ,1954-01-01 ,2020-03-31 ,24196 ,7304
57713 ,8696  ,6         ,5   ,106.883333333333 ,27.7             ,843.9  ,1965-04-01        ,2014-12-31      ,1951-01-01 ,2020-03-31 ,25292 ,18171
57730 ,8753  ,4         ,3   ,108.183333333333 ,27.75            ,420.6  ,1963-10-01        ,1983-12-31      ,1956-02-01 ,1995-12-31 ,14578 ,7396
57746 ,8823  ,2         ,2   ,109.966666666667 ,27.55            ,254.1  ,1966-12-01        ,2002-12-31      ,1957-12-01 ,2002-12-31 ,16466 ,13179
57765 ,8863  ,4         ,2   ,110.416666666667 ,27.3333333333333 ,1404.9 ,1975-10-01        ,1989-12-31      ,1973-01-01 ,2020-03-31 ,17256 ,5205
57797 ,8985  ,3         ,1   ,114.966666666667 ,27.1166666666667 ,76.4   ,2007-01-01        ,2008-12-31      ,2007-01-01 ,2020-03-31 ,4838  ,730
57823 ,9072  ,3         ,3   ,107.783333333333 ,27               ,683.7  ,1975-01-01        ,1998-12-31      ,1959-09-01 ,1998-12-31 ,14366 ,8765
57826 ,9081  ,1         ,1   ,107.783333333333 ,26.65            ,918    ,1959-06-01        ,1999-12-31      ,1959-06-01 ,1999-12-31 ,14823 ,14823
58028 ,9738  ,3         ,2   ,117.366666666667 ,34.3166666666667 ,34.3   ,1953-01-01        ,1980-12-31      ,1951-01-01 ,1990-12-31 ,14609 ,10226
58046 ,9796  ,4         ,3   ,119.783333333333 ,34.4833333333333 ,4.6    ,1973-04-01        ,2003-12-31      ,1960-01-01 ,2020-03-31 ,22005 ,11231
58144 ,9991  ,8         ,8   ,119.033333333333 ,33.6             ,17.5   ,1979-03-01        ,2000-12-31      ,1951-01-01 ,2000-12-31 ,18262 ,7976
58151 ,10027 ,6         ,6   ,120.133333333333 ,33.3833333333333 ,2.3    ,1961-01-01        ,1985-12-31      ,1953-01-01 ,1985-12-31 ,12052 ,9130
58248 ,10231 ,4         ,3   ,119.466666666667 ,32.2166666666667 ,26.4   ,1961-01-01        ,1993-12-31      ,1951-01-01 ,1996-12-31 ,16801 ,12052
58305 ,10308 ,2         ,1   ,115.633333333333 ,31.5166666666667 ,177.7  ,1957-11-01        ,1981-12-31      ,1957-11-01 ,1991-06-30 ,12294 ,8826
58333 ,10388 ,4         ,3   ,118.85           ,31.95            ,22.1   ,1965-01-01        ,2005-12-31      ,1960-01-01 ,2007-12-31 ,17531 ,14974
58357 ,10527 ,4         ,4   ,120.633333333333 ,31.3166666666667 ,5.8    ,1980-01-01        ,1994-12-31      ,1961-01-01 ,1994-12-31 ,12417 ,5478
58445 ,10740 ,2         ,1   ,119.416666666667 ,30.35            ,1496.9 ,1956-01-01        ,1984-12-31      ,1956-01-01 ,1998-04-30 ,15460 ,10592
58473 ,10856 ,1         ,1   ,122.816666666667 ,30.7333333333333 ,124.6  ,1976-04-01        ,2020-03-31      ,1976-04-01 ,2020-03-31 ,16070 ,16070
58617 ,11134 ,4         ,3   ,116.366666666667 ,28               ,47.3   ,1968-01-01        ,2002-11-30      ,1956-11-01 ,2005-12-31 ,17957 ,12752
58653 ,11240 ,3         ,1   ,120.916666666667 ,28.8166666666667 ,1373.9 ,1956-01-01        ,1985-12-31      ,1956-01-01 ,2020-03-31 ,23466 ,10957
58726 ,11354 ,5         ,3   ,117.833333333333 ,27.95            ,1414   ,1956-02-01        ,1981-02-28      ,1955-10-01 ,2020-03-14 ,23541 ,9159
58765 ,11440 ,2         ,1   ,121.2            ,27.6333333333333 ,41.6   ,1971-01-01        ,1983-02-28      ,1971-01-01 ,2020-03-31 ,17987 ,4441
58853 ,11560 ,1         ,1   ,120.7            ,27               ,106.6  ,1963-11-01        ,1992-11-30      ,1963-11-01 ,1992-11-30 ,10622 ,10622
58900 ,11561 ,2         ,1   ,114.95           ,25.85            ,123.7  ,2007-01-01        ,2012-02-29      ,2007-01-01 ,2020-03-31 ,4838  ,1885
59432 ,12421 ,2         ,2   ,108.4            ,22.8             ,194.6  ,2007-01-01        ,2016-06-30      ,2000-01-01 ,2016-06-30 ,6025  ,3468
