site,moveTimes,tag,lon,lat,alt,period_date_begin,period_date_end,date_begin,date_end,n_all,n_period,dist
55578,5,1,8855,2913,38,1955-12-01,1964-12-31,1955-12-01,2018-12-31,23042,3319,0
55578,5,2,8855,2913,38.36,1965-01-01,1977-12-31,1955-12-01,2018-12-31,23042,4748,0
55578,5,3,8853,2915,38.36,1978-01-01,2001-05-31,1955-12-01,2018-12-31,23042,8552,3.71147929099544
55578,5,4,8853,2915,38.36,2001-06-01,2002-12-31,1955-12-01,2018-12-31,23042,579,560.330178353055
55578,5,5,8853,2915,38.36,2003-01-01,2018-12-31,1955-12-01,2018-12-31,23042,5844,3.71147929099544
56792,5,1,10457,2547,16.2,1961-01-01,1962-07-31,1961-01-01,2018-12-31,21184,577,0
56792,5,2,10457,2547,16.2,1962-08-01,1965-03-31,1961-01-01,2018-12-31,21184,974,111.323871569726
56792,5,3,10458,2548,16.2,1965-04-01,1976-05-31,1961-01-01,2018-12-31,21184,4079,1.9162084572332
56792,5,4,10458,2547,16.2,1976-06-01,1979-07-31,1961-01-01,2018-12-31,21184,1156,1.85539785965152
56792,5,5,10458,2547,16.494,1979-08-01,2018-12-31,1961-01-01,2018-12-31,21184,14398,1.85539785965152
57080,6,1,11303,3448,1.375,1960-01-01,1961-11-30,1960-01-01,2018-12-31,21550,700,0
57080,6,2,11302,3447,1.547,1962-01-01,1963-07-31,1960-01-01,2018-12-31,21550,577,233.781161259499
57080,6,3,11302,3447,1.547,1963-08-01,1964-09-30,1960-01-01,2018-12-31,21550,427,1.99245394293265
57080,6,4,11259,3445,1.646,1964-10-01,1976-11-30,1960-01-01,2018-12-31,21550,4444,7.73412049445579
57080,6,5,11258,3444,1.652,1976-12-01,2017-12-31,1960-01-01,2018-12-31,21550,15006,9.71994744881883
57080,6,6,11258,3445,1.652,2018-01-01,2018-12-31,1960-01-01,2018-12-31,21550,365,9.52868735039157
57460,4,1,11147,3053,0.642,1959-01-01,1962-12-31,1959-01-01,2018-12-31,21915,1461,0
57460,4,2,11147,3053,0.642,1963-01-01,1964-12-31,1959-01-01,2018-12-31,21915,731,98.3360865532105
57460,4,3,11139,3052,0.918,1965-01-01,1982-10-31,1959-01-01,2018-12-31,21915,6513,113.181431767898
57460,4,4,11147,3049,0.918,1982-11-01,2018-12-31,1959-01-01,2018-12-31,21915,13210,98.3761312760253
58246,8,2,11952,3229,0.054,1959-06-01,1978-09-30,1955-01-01,2018-12-31,23376,7062,0
58246,8,3,11956,3230,0.051,1978-10-01,1979-12-31,1955-01-01,2018-12-31,23376,457,7.47900031554741
58246,8,4,11956,3230,0.055,1980-01-01,2005-06-30,1955-01-01,2018-12-31,23376,9313,7.47900031554741
58246,8,5,11954,3231,0.05,2007-01-01,2012-12-31,1955-01-01,2018-12-31,23376,2192,4.14587160970045
58246,8,6,12000,3233,0.026,2013-01-01,2017-07-31,1955-01-01,2018-12-31,23376,1673,15.2981879469113
58246,8,7,12000,3233,0.026,2017-08-01,2017-08-31,1955-01-01,2018-12-31,23376,31,13344.018926038
58246,8,8,12000,3233,0.026,2017-09-01,2018-12-31,1955-01-01,2018-12-31,23376,487,15.2981879469113
