id,site,lat,lon,is_east,is_city
1,50136,52.9666666666667,122.516666666667,EC,Rural
2,50247,52.0333333333333,123.566666666667,EC,Urban
3,50349,51.6666666666667,124.4,EC,Urban
4,50353,51.7333333333333,126.633333333333,EC,Urban
5,50425,50.25,120.183333333333,EC,Urban
6,50431,50.7833333333333,121.516666666667,EC,Urban
7,50434,50.4833333333333,121.683333333333,EC,Urban
8,50442,50.4,124.116666666667,EC,Urban
9,50445,50.5833333333333,123.733333333333,EC,Urban
10,50468,50.25,127.45,EC,Urban
11,50514,49.5833333333333,117.316666666667,EC,Urban
12,50524,49.3166666666667,119.433333333333,EC,Urban
13,50525,49.15,119.75,EC,Urban
14,50526,49.2833333333333,120.7,EC,Urban
15,50527,49.25,119.7,EC,Urban
16,50548,49.2,123.716666666667,EC,Urban
17,50557,49.1666666666667,125.233333333333,EC,Urban
18,50564,49.4333333333333,127.35,EC,Urban
19,50566,49.55,128.466666666667,EC,Urban
20,50603,48.6666666666667,116.816666666667,EC,Urban
21,50618,48.2166666666667,118.266666666667,EC,Urban
22,50632,48.7666666666667,121.916666666667,EC,Rural
23,50639,48,122.733333333333,EC,Urban
24,50645,48.4833333333333,124.483333333333,EC,Urban
25,50646,48.4833333333333,124.85,EC,Urban
26,50647,48.1333333333333,123.483333333333,EC,Urban
27,50655,48.5,126.183333333333,EC,Urban
28,50656,48.25,126.5,EC,Urban
29,50658,48.05,125.883333333333,EC,Urban
30,50659,48.0333333333333,126.25,EC,Urban
31,50673,48.8833333333333,130.4,EC,Urban
32,50674,48.5666666666667,129.433333333333,EC,Urban
33,50727,47.1666666666667,119.933333333333,EC,Urban
34,50739,47.3333333333333,123.183333333333,EC,Urban
35,50741,47.9333333333333,123.5,EC,Urban
36,50742,47.8,124.483333333333,EC,Urban
37,50745,47.3833333333333,123.916666666667,EC,Urban
38,50749,47.1833333333333,124.833333333333,EC,Urban
39,50750,47.9,125.3,EC,Urban
40,50755,47.6166666666667,126.066666666667,EC,Urban
41,50756,47.45,126.966666666667,EC,Urban
42,50758,47.1833333333333,125.9,EC,Urban
43,50767,47.2333333333333,127.1,EC,Urban
44,50772,48.1,129.233333333333,EC,Urban
45,50774,47.7,128.833333333333,EC,Urban
46,50775,47.3333333333333,130.2,EC,Urban
47,50776,47.5666666666667,130.833333333333,EC,Urban
48,50778,47.6666666666667,132.533333333333,EC,Urban
49,50779,48.3666666666667,134.283333333333,EC,Urban
50,50787,47.3166666666667,131.833333333333,EC,Urban
51,50788,47.2333333333333,131.983333333333,EC,Rural
52,50832,46.7166666666667,122.083333333333,EC,Urban
53,50833,46.7166666666667,122.9,EC,Urban
54,50834,46.6,121.216666666667,EC,Rural
55,50838,46.0833333333333,122.05,EC,Urban
56,50842,46.8333333333333,124.416666666667,EC,Urban
57,50844,46.4,123.45,EC,Urban
58,50850,46.5666666666667,125.133333333333,EC,Urban
59,50851,46.6833333333333,126.083333333333,EC,Urban
60,50852,46.8166666666667,126.45,EC,Urban
61,50853,46.6166666666667,126.966666666667,EC,Urban
62,50854,46.3833333333333,125.316666666667,EC,Urban
63,50858,46.0666666666667,125.933333333333,EC,Urban
64,50859,46.2833333333333,126.283333333333,EC,Urban
65,50861,46.8833333333333,127.483333333333,EC,Urban
66,50862,46.9833333333333,127.983333333333,EC,Urban
67,50867,46.0833333333333,127.35,EC,Urban
68,50871,46.7333333333333,129.883333333333,EC,Urban
69,50873,46.7833333333333,130.3,EC,Urban
70,50877,46.3,129.583333333333,EC,Rural
71,50878,47,130.716666666667,EC,Urban
72,50879,46.2166666666667,130.55,EC,Urban
73,50880,46.7333333333333,131.116666666667,EC,Urban
74,50884,46.6333333333333,131.15,EC,Urban
75,50888,46.3166666666667,132.183333333333,EC,Urban
76,50892,46.8,134,EC,Urban
77,50913,45.7166666666667,118.833333333333,EC,Urban
78,50915,45.5166666666667,116.966666666667,EC,Urban
79,50924,45.5333333333333,119.666666666667,EC,Urban
80,50928,45.0666666666667,120.333333333333,EC,Rural
81,50934,45.3833333333333,121.583333333333,EC,Urban
82,50936,45.6333333333333,122.833333333333,EC,Urban
83,50937,45.0666666666667,121.483333333333,EC,Urban
84,50939,45.3333333333333,122.816666666667,EC,Urban
85,50940,45.85,123.166666666667,EC,Urban
86,50945,45.5,124.266666666667,EC,Urban
87,50946,45.1833333333333,124.833333333333,EC,Urban
88,50948,45,124.016666666667,EC,Urban
89,50949,45.0833333333333,124.866666666667,EC,Urban
90,50950,45.7,125.25,EC,Rural
91,50953,45.9333333333333,126.566666666667,EC,Urban
92,50954,45.5,125.083333333333,EC,Urban
93,50955,45.4,126.316666666667,EC,Urban
94,50956,46.0833333333333,126.766666666667,EC,Urban
95,50958,45.5333333333333,126.933333333333,EC,Urban
96,50960,45.7333333333333,127.383333333333,EC,Rural
97,50962,45.95,128.033333333333,EC,Urban
98,50963,45.9666666666667,128.733333333333,EC,Rural
99,50964,45.8333333333333,128.8,EC,Urban
100,50965,45.4333333333333,128.266666666667,EC,Urban
101,50968,45.2166666666667,127.966666666667,EC,Urban
102,50971,45.7666666666667,131.016666666667,EC,Urban
103,50973,45.75,130.6,EC,Urban
104,50978,45.3,130.916666666667,EC,Urban
105,50979,45.2666666666667,130.233333333333,EC,Urban
106,50983,45.7666666666667,132.966666666667,EC,Urban
107,50985,45.55,131.866666666667,EC,Urban
108,50987,45.2666666666667,131.1,EC,Urban
109,51053,48.05,86.2066666666667,WC,Rural
110,51058,47.1,87.5133333333333,WC,Urban
111,51059,47.4333333333333,85.5033333333333,WC,Urban
112,51060,47.7,86.5033333333333,WC,Urban
113,51068,47.1166666666667,87.2133333333333,WC,Urban
114,51076,47.7333333333333,88.0083333333333,WC,Urban
115,51087,46.9833333333333,89.3016666666667,WC,Urban
116,51133,46.7333333333333,83,WC,Urban
117,51137,46.2,82.51,WC,Urban
118,51145,46.55,83.315,WC,Urban
119,51156,46.7833333333333,85.405,WC,Urban
120,51186,46.6666666666667,90.205,WC,Urban
121,51232,45.1833333333333,82.3066666666667,WC,Rural
122,51238,44.9,82.0066666666667,WC,Urban
123,51241,45.9333333333333,83.31,WC,Urban
124,51243,45.6166666666667,84.5016666666667,WC,Urban
125,51288,45.3666666666667,90.3033333333333,WC,Rural
126,51328,44.2,80.2083333333333,WC,Urban
127,51329,44.05,80.5016666666667,WC,Urban
128,51330,44.9666666666667,81.0016666666667,WC,Urban
129,51334,44.5666666666667,82.415,WC,Urban
130,51346,44.4333333333333,84.4,WC,Urban
131,51352,44.85,85.1083333333333,WC,Urban
132,51353,45.0166666666667,86.01,WC,Rural
